date,region,icu_capacity_percent,stay_home_order
12/9/2020,Northern California,0.271,no
12/9/2020,San Joaquin Valley,0.042,yes
12/9/2020,Southern California,0.09,yes
12/8/2020,Bay Area,0.245,no
12/8/2020,Greater Sacramento,0.188,no
12/8/2020,Northern California,0.25,no
12/8/2020,San Joaquin Valley,0.056,yes
12/8/2020,Southern California,0.101,yes
12/7/2020,Bay Area,0.257,no
12/7/2020,Greater Sacramento,0.203,no
12/7/2020,Northern California,2.362,no
12/7/2020,San Joaquin Valley,0.063,yes
12/7/2020,Southern California,0.109,yes
12/6/2020,Bay Area,0.241,no
12/6/2020,Greater Sacramento,0.182,no
12/6/2020,Northern California,0.265,no
12/6/2020,San Joaquin Valley,0.066,pending
12/6/2020,Southern California,0.103,pending
12/5/2020,Northern California,0.241,no
12/5/2020,Bay Area,0.217,no
12/5/2020,Greater Sacramento,0.214,no
12/5/2020,San Joaquin Valley,0.086,pending
12/5/2020,Southern California,0.125,pending
12/4/2020,Northern California,0.209,no
12/4/2020,Bay Area,0.212,no
12/4/2020,Greater Sacramento,0.214,no
12/4/2020,San Joaquin Valley,0.141,no
12/4/2020,Southern California,0.121,no
12/3/2020,Northern California,0.186,no
12/3/2020,Bay Area,4.243,no
12/3/2020,Greater Sacramento,2.222,no
12/3/2020,San Joaquin Valley,0.197,no
12/3/2020,Southern California,0.26,no
